opcode  mnemonic  addressing_mode
00      brk       Implied
01      ora       IndirectX
05      ora       ZeroPage
06      asl       ZeroPage
08      php       Implied
09      ora       Immediate
0a      asl       Accumulator
0d      ora       Absolute
0e      asl       Absolute
10      bpl       Relative
11      ora       IndirectY
15      ora       ZeroPageX
16      asl       ZeroPageX
18      clc       Implied
19      ora       AbsoluteY
1d      ora       AbsoluteX
1e      asl       AbsoluteX
20      jsr       Absolute
21      and       IndirectX
24      bit       ZeroPage
25      and       ZeroPage
26      rol       ZeroPage
28      plp       Implied
29      and       Immediate
2a      rol       Accumulator
2c      bit       Absolute
2d      and       Absolute
2e      rol       Absolute
30      bmi       Relative
31      and       IndirectY
35      and       ZeroPageX
36      rol       ZeroPageX
38      sec       Implied
39      and       AbsoluteY
3d      and       AbsoluteX
3e      rol       AbsoluteX
40      rti       Implied
41      eor       IndirectX
45      eor       ZeroPage
46      lsr       ZeroPage
48      pha       Implied
49      eor       Immediate
4a      lsr       Accumulator
4c      jmp       Absolute
4d      eor       Absolute
4e      lsr       Absolute
50      bvc       Relative
51      eor       IndirectY
55      eor       ZeroPageX
56      lsr       ZeroPageX
58      cli       Implied
59      eor       AbsoluteY
5d      eor       AbsoluteX
5e      lsr       AbsoluteX
60      rts       Implied
61      adc       IndirectX
65      adc       ZeroPage
66      ror       ZeroPage
68      pla       Implied
69      adc       Immediate
6a      ror       Accumulator
6c      jmp       indirect
6d      adc       Absolute
6e      ror       Absolute
70      bvs       Relative
71      adc       IndirectY
75      adc       ZeroPageX
76      ror       ZeroPageX
78      sei       Implied
79      adc       AbsoluteY
7d      adc       AbsoluteX
7e      ror       AbsoluteX
81      sta       IndirectX
84      sty       ZeroPage
85      sta       ZeroPage
86      stx       ZeroPage
88      dey       Implied
8a      txa       Implied
8c      sty       Absolute
8d      sta       Absolute
8e      stx       Absolute
90      bcc       Relative
91      sta       IndirectY
94      sty       ZeroPageX
95      sta       ZeroPageX
96      stx       ZeroPageY
98      tya       Implied
9a      txs       Implied
9d      sta       AbsoluteX
a0      ldy       Immediate
a1      lda       IndirectX
a2      ldx       Immediate
a4      ldy       ZeroPage
a5      lda       ZeroPage
a6      ldx       ZeroPage
a8      tay       Implied
a9      lda       Immediate
aa      tax       Implied
ac      ldy       Absolute
ad      lda       Absolute
ae      ldx       Absolute
b0      bcs       Relative
b1      lda       IndirectY
b4      ldy       ZeroPageX
b5      lda       ZeroPageX
b6      ldx       ZeroPageY
b8      clv       Implied
b9      lda       AbsoluteY
ba      tsx       Implied
bc      ldy       AbsoluteX
bd      lda       AbsoluteX
be      ldx       AbsoluteY
c0      cpy       Immediate
c1      cmp       IndirectX
c4      cpy       ZeroPage
c5      cmp       ZeroPage
c6      dec       ZeroPage
c8      iny       Implied
c9      cmp       Immediate
ca      dex       Implied
cc      cpy       Absolute
cd      cmp       Absolute
ce      dec       Absolute
d0      bne       Relative
d1      cmp       IndirectY
d5      cmp       ZeroPageX
d6      dec       ZeroPageX
d8      cld       Implied
d9      cmp       AbsoluteY
dd      cmp       AbsoluteX
de      dec       AbsoluteX
e0      cpx       Immediate
e1      sbc       IndirectX
e4      cpx       ZeroPage
e5      sbc       ZeroPage
e6      inc       ZeroPage
e8      inx       Implied
e9      sbc       Immediate
ea      nop       Implied
ec      cpx       Absolute
ed      sbc       Absolute
ee      inc       Absolute
f0      beq       Relative
f1      sbc       IndirectY
f5      sbc       ZeroPageX
f6      inc       ZeroPageX
f8      sed       Implied
f9      sbc       AbsoluteY
fd      sbc       AbsoluteX
fe      inc       AbsoluteX
