00 BRK Implied
01 ORA IndirectX
02 UNI Unimplemented
03 UNI Unimplemented
04 UNI Unimplemented
05 ORA ZeroPage
06 ASL ZeroPage
07 UNI Unimplemented
08 PHP Implied
09 ORA Immediate
0A ASL Accumulator
0B UNI Unimplemented
0C UNI Unimplemented
0D ORA Absolute
0E ASL Absolute
0F UNI Unimplemented
10 BPL Relative
11 ORA IndirectY
12 UNI Unimplemented
13 UNI Unimplemented
14 UNI Unimplemented
15 ORA ZeroPageX
16 ASL ZeroPageX
17 UNI Unimplemented
18 CLC Implied
19 ORA AbsoluteY
1A UNI Unimplemented
1B UNI Unimplemented
1C UNI Unimplemented
1D ORA AbsoluteX
1E ASL AbsoluteX
1F UNI Unimplemented
20 JSR Absolute
21 AND IndirectX
22 UNI Unimplemented
23 UNI Unimplemented
24 BIT ZeroPage
25 AND ZeroPage
26 ROL ZeroPage
27 UNI Unimplemented
28 PLP Implied
29 AND Immediate
2A ROL Accumulator
2B UNI Unimplemented
2C BIT Absolute
2D AND Absolute
2E ROL Absolute
2F UNI Unimplemented
30 BMI Relative
31 AND IndirectY
32 UNI Unimplemented
33 UNI Unimplemented
34 UNI Unimplemented
35 AND ZeroPageX
36 ROL ZeroPageX
37 UNI Unimplemented
38 SEC Implied
39 AND AbsoluteY
3A UNI Unimplemented
3B UNI Unimplemented
3C UNI Unimplemented
3D AND AbsoluteX
3E ROL AbsoluteX
3F UNI Unimplemented
40 RTI Implied
41 EOR IndirectX
42 UNI Unimplemented
43 UNI Unimplemented
44 UNI Unimplemented
45 EOR ZeroPage
46 LSR ZeroPage
47 UNI Unimplemented
48 PHA Implied
49 EOR Immediate
4A LSR Accumulator
4B UNI Unimplemented
4C JMP Absolute
4D EOR Absolute
4E LSR Absolute
4F UNI Unimplemented
50 BVC Relative
51 EOR IndirectY
52 UNI Unimplemented
53 UNI Unimplemented
54 UNI Unimplemented
55 EOR ZeroPageX
56 LSR ZeroPageX
57 UNI Unimplemented
58 CLI Implied
59 EOR AbsoluteY
5A UNI Unimplemented
5B UNI Unimplemented
5C UNI Unimplemented
5D EOR AbsoluteX
5E LSR AbsoluteX
5F UNI Unimplemented
60 RTS Implied
61 ADC IndirectX
62 UNI Unimplemented
63 UNI Unimplemented
64 UNI Unimplemented
65 ADC ZeroPage
66 ROR ZeroPage
67 UNI Unimplemented
68 PLA Implied
69 ADC Immediate
6A ROR Accumulator
6B UNI Unimplemented
6C JMP IndirectAbsolute
6D ADC Absolute
6E ROR Absolute
6F UNI Unimplemented
70 BVS Relative
71 ADC IndirectY
72 UNI Unimplemented
73 UNI Unimplemented
74 UNI Unimplemented
75 ADC ZeroPageX
76 ROR ZeroPageX
77 UNI Unimplemented
78 SEI Implied
79 ADC AbsoluteY
7A UNI Unimplemented
7B UNI Unimplemented
7C UNI Unimplemented
7D ADC AbsoluteX
7E ROR AbsoluteX
7F UNI Unimplemented
80 UNI Unimplemented
81 STA IndirectX
82 UNI Unimplemented
83 UNI Unimplemented
84 STY ZeroPage
85 STA ZeroPage
86 STX ZeroPage
87 UNI Unimplemented
88 DEY Implied
89 UNI Unimplemented
8A TXA Implied
8B UNI Unimplemented
8C STY Absolute
8D STA Absolute
8E STX Absolute
8F UNI Unimplemented
90 BCC Relative
91 STA IndirectY
92 UNI Unimplemented
93 UNI Unimplemented
94 STY ZeroPageX
95 STA ZeroPageX
96 STX ZeroPageY
97 UNI Unimplemented
98 TYA Implied
99 UNI Unimplemented
9A TXS Implied
9B UNI Unimplemented
9C UNI Unimplemented
9D STA AbsoluteX
9E UNI Unimplemented
9F UNI Unimplemented
A0 LDY Immediate
A1 LDA IndirectX
A2 LDX Immediate
A3 UNI Unimplemented
A4 LDY ZeroPage
A5 LDA ZeroPage
A6 LDX ZeroPage
A7 UNI Unimplemented
A8 TAY Implied
A9 LDA Immediate
AA TAX Implied
AB UNI Unimplemented
AC LDY Absolute
AD LDA Absolute
AE LDX Absolute
AF UNI Unimplemented
B0 BCS Relative
B1 LDA IndirectY
B2 UNI Unimplemented
B3 UNI Unimplemented
B4 LDY ZeroPageX
B5 LDA ZeroPageX
B6 LDX ZeroPageY
B7 UNI Unimplemented
B8 CLV Implied
B9 LDA AbsoluteY
BA TSX Implied
BB UNI Unimplemented
BC LDY AbsoluteX
BD LDA AbsoluteX
BE LDX AbsoluteY
BF UNI Unimplemented
C0 CPY Immediate
C1 CMP IndirectX
C2 UNI Unimplemented
C3 UNI Unimplemented
C4 CPY ZeroPage
C5 CMP ZeroPage
C6 DEC ZeroPage
C7 UNI Unimplemented
C8 INY Implied
C9 CMP Immediate
CA DEX Implied
CB UNI Unimplemented
CC CPY Absolute
CD CMP Absolute
CE DEC Absolute
CF UNI Unimplemented
D0 BNE Relative
D1 CMP IndirectY
D2 UNI Unimplemented
D3 UNI Unimplemented
D4 UNI Unimplemented
D5 CMP ZeroPageX
D6 DEC ZeroPageX
D7 UNI Unimplemented
D8 CLD Implied
D9 CMP AbsoluteY
DA UNI Unimplemented
DB UNI Unimplemented
DC UNI Unimplemented
DD CMP AbsoluteX
DE DEC AbsoluteX
DF UNI Unimplemented
E0 CPX Immediate
E1 SBC IndirectX
E2 UNI Unimplemented
E3 UNI Unimplemented
E4 CPX ZeroPage
E5 SBC ZeroPage
E6 INC ZeroPage
E7 UNI Unimplemented
E8 INX Implied
E9 SBC Immediate
EA NOP Implied
EB UNI Unimplemented
EC CPX Absolute
ED SBC Absolute
EE INC Absolute
EF UNI Unimplemented
F0 BEQ Relative
F1 SBC IndirectY
F2 UNI Unimplemented
F3 UNI Unimplemented
F4 UNI Unimplemented
F5 SBC ZeroPageX
F6 INC ZeroPageX
F7 UNI Unimplemented
F8 SED Implied
F9 SBC AbsoluteY
FA UNI Unimplemented
FB UNI Unimplemented
FC UNI Unimplemented
FD SBC AbsoluteX
FE INC AbsoluteX
FF UNI Unimplemented
